"FIPS","Population","HS","BAorHigher","Owner_Occupied","Uninsured","Poverty","MetroArea","Unemployment","HHIncome_med","HHInc_PercStateTotal","Rural_Urban","UrbanInfCode","EconType","Male","WhiteAlone","BlackAlone","AsianAlone","Hispanic","Multiple"
39121,"14354",49.1,10.3,NA,NA,18.1,"No",6.7,"48792 ",86.9,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Government",NA,NA,NA,NA,NA,NA
39123,"40769",35.5,22.4,NA,NA,9.5,"No",6.3,"58345 ",103.9,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Recreation",NA,NA,NA,NA,NA,NA
39125,"18760",48.8,14.1,NA,NA,10.3,"No",4.1,"53876 ",95.9,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Manufacturing",NA,NA,NA,NA,NA,NA
39127,"36033",44.9,12.3,NA,NA,16.4,"Yes",5.6,"51534 ",91.8,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
39129,"58086",41,18.6,NA,NA,12.1,"Yes",4.3,"58742 ",104.6,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
39131,"28067",40.4,13.8,NA,NA,20.5,"No",6.5,"45163 ",80.4,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Manufacturing",NA,NA,NA,NA,NA,NA
39133,"162927",36.3,28.7,69.1442056089769,NA,11.3,"Yes",4.6,"63689 ",113.4,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Government",NA,NA,NA,NA,NA,NA
39135,"40997",43.6,15.8,NA,NA,9.7,"No",4.1,"53904 ",96,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","4 - Noncore (adjacent to large metro area)","Manufacturing",NA,NA,NA,NA,NA,NA
39137,"33780",42.4,20.3,NA,NA,5.5,"No",3.4,"64304 ",114.5,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Manufacturing",NA,NA,NA,NA,NA,NA
39139,"121099",39.8,17.8,67.6803134821829,NA,14.4,"Yes",4.9,"49668 ",88.4,"3 - Metro (< 250,000 urban pop.)","2 - Small (metro, <1 million residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
39141,"76931",42.3,16.6,71.5805688901626,NA,18.4,"No",4.6,"49385 ",87.9,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","3 - Micropolitan (adjacent to large metro area)","Government",NA,NA,NA,NA,NA,NA
39143,"58799",42.3,16,NA,NA,10,"No",4.5,"53978 ",96.1,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Manufacturing",NA,NA,NA,NA,NA,NA
39145,"75502",42,15,65.7441493557718,NA,22.6,"No",6.8,"41267 ",73.5,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
39147,"55207",46.1,15.2,NA,NA,12.1,"No",4.4,"52165 ",92.9,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
39149,"48627",42.5,17.4,NA,NA,9,"No",3.8,"63398 ",112.9,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Manufacturing",NA,NA,NA,NA,NA,NA
39151,"371574",37.8,22.8,66.9889744771151,NA,14.4,"Yes",4.9,"52310 ",93.2,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
39153,"541918",30.6,32.1,66.0838190396891,NA,12,"Yes",4.7,"58890 ",104.9,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
39155,"198627",44.9,18.5,71.9149230025551,NA,17.6,"Yes",6.2,"47424 ",84.5,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Manufacturing",NA,NA,NA,NA,NA,NA
39157,"92176",45.7,15.8,72.1866153928323,NA,12.3,"No",4.6,"51030 ",90.9,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Manufacturing",NA,NA,NA,NA,NA,NA
39159,"57835",34.1,33,NA,NA,5,"Yes",3.5,"84861 ",151.1,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Manufacturing",NA,NA,NA,NA,NA,NA
39161,"28281",46.1,16.2,NA,NA,8.4,"No",3.5,"54331 ",96.8,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Manufacturing",NA,NA,NA,NA,NA,NA
39163,"13139",46.2,11.5,NA,NA,19,"No",6.2,"43457 ",77.4,"8 - Nonmetro (rural or < 2,500 urban pop., adjacent to metro)","4 - Noncore (adjacent to large metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
39165,"232173",25.9,42.3,77.3924336804637,NA,5.2,"Yes",3.9,"87391 ",155.6,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
39167,"60155",41.8,19.2,NA,NA,15.9,"No",5.6,"50904 ",90.6,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","5 - Micropolitan (adjacent to small metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
39169,"115967",39.4,21.9,74.1384938214036,NA,9.4,"No",3.6,"59142 ",105.3,"4 - Nonmetro (20,000+ urban pop., adjacent to metro)","3 - Micropolitan (adjacent to large metro area)","Manufacturing",NA,NA,NA,NA,NA,NA
39171,"36804",43.4,15,NA,NA,9.7,"No",3.6,"54581 ",97.2,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Manufacturing",NA,NA,NA,NA,NA,NA
39173,"130696",31.1,33.1,65.2926413010742,NA,11.9,"Yes",4,"64282 ",114.5,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Manufacturing",NA,NA,NA,NA,NA,NA
39175,"21935",46.2,15.7,NA,NA,8,"No",3.2,"55995 ",99.7,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","9 - Noncore (adjacent to micro area, with a town of 2,500 to 19,999)","Manufacturing",NA,NA,NA,NA,NA,NA
